Quantity,Price,Side,Time
0.0001,30168.78,SELL,1688799430072
0.0001,30142.71,BUY,1688799430576
0.0001,30171.19,SELL,1688799491788
0.0001,30158.17,BUY,1688799492175
0.0001,30218.75,SELL,1688801365495
0.0001,30187.75,BUY,1688801365862
0.0001,30284.989999999998,BUY,1688804447143
0.0001,30297.76,SELL,1688804447567
0.0001,30279.899999999998,BUY,1688804508437
0.0001,30292.72,SELL,1688804508812
0.0001,30274.96,BUY,1688804569771
0.0001,30274.96,BUY,1688804630986
0.0001,30303.76,SELL,1688804631232
0.0001,30261.68,SELL,1688804692200
0.0001,30275.01,SELL,1688804753436
0.0001,30239.43,BUY,1688804753664
0.0001,30275.01,SELL,1688804814505
0.0001,30276.25,BUY,1688804814864
0.0001,30289.99,BUY,1688804875560
0.0001,30307.1,SELL,1688804876036
0.0001,30279.98,BUY,1688804936788
0.0001,30279.989999999998,BUY,1688804997454
0.0001,30297.01,SELL,1688804997945
0.0001,30275.029999999995,SELL,1688805058676
0.0001,30263.62,BUY,1688805058908
0.0001,30270.03,SELL,1688805119950
0.0001,30263.23,BUY,1688805120303
0.0001,30286.469999999998,BUY,1688805181154
0.0001,30323.43,SELL,1688805181662
0.0001,30300.929999999997,BUY,1688805242242
0.0001,30341.02,SELL,1688805242617
0.0001,30310.01,SELL,1688805303068
0.0001,30311.74,BUY,1688805303302
0.0001,30315.01,SELL,1688805363675
0.0001,30299.92,BUY,1688805363914
0.0001,30339.969999999998,BUY,1688805424846
0.0001,30335.009999999995,SELL,1688805486340
0.0001,30333.88,BUY,1688805486697
0.0001,30345.0,BUY,1688805547180
0.0001,30329.989999999998,BUY,1688805608296
0.0001,30319.989999999998,BUY,1688805669110
0.0001,30327.14,SELL,1688805669342
0.0001,30310.01,SELL,1688805730023
0.0001,30308.91,BUY,1688805730377
0.0001,30309.279999999995,SELL,1688805791103
0.0001,30316.23,BUY,1688805791602
0.0001,30309.279999999995,SELL,1688805852196
0.0001,30290.61,BUY,1688805852549
0.0001,30309.279999999995,SELL,1688805913135
0.0001,30278.33,BUY,1688805913501
0.0001,30309.279999999995,SELL,1688805973965
0.0001,30283.7,BUY,1688805974196
0.0001,30309.279999999995,SELL,1688806034729
0.0001,30281.86,BUY,1688806035089
0.0001,30309.289999999997,SELL,1688806095552
0.0001,30316.53,BUY,1688806095919
0.0001,30304.989999999998,BUY,1688806156603
0.0001,30355.84,SELL,1688806156975
0.0001,30274.54,SELL,1688806217354
0.0001,30270.25,SELL,1688806278520
0.0001,30287.78,BUY,1688806278892
0.0001,30269.05,SELL,1688806339504
0.0001,30287.29,BUY,1688806340005
0.0001,30268.039999999997,SELL,1688806400691
0.0001,30239.56,BUY,1688806401059
0.0001,30289.969999999998,BUY,1688806461718
0.0001,30323.7,SELL,1688806462091
0.0001,30289.959999999995,BUY,1688806522836
0.0001,30341.65,SELL,1688806523061
0.0001,30289.99,BUY,1688806583585
0.0001,30318.54,SELL,1688806583958
0.0001,30289.99,BUY,1688806644703
0.0001,30353.03,SELL,1688806645056
0.0001,30289.99,BUY,1688806705999
0.0001,30298.09,SELL,1688806706228
0.0001,30289.99,BUY,1688806766982
0.0001,30332.92,SELL,1688806767485
0.0001,30271.1,SELL,1688806828336
0.0001,30277.88,BUY,1688806828824
0.0001,30289.99,BUY,1688806889540
0.0001,30315.4,SELL,1688806889769
0.0001,30277.889999999996,SELL,1688806950347
0.0001,30271.129999999997,SELL,1688807011643
0.0001,30212.77,BUY,1688807011995
0.0001,30284.97,BUY,1688807073038
0.0001,30290.76,BUY,1688807134050
0.0001,30350.88,SELL,1688807134412
0.0001,30290.76,BUY,1688807195019
0.0001,30327.02,SELL,1688807195265
0.0001,30289.899999999998,BUY,1688807282227
0.0001,30270.75,SELL,1688807283099
0.0001,30289.769999999997,BUY,1688807344013
0.0001,30321.0,SELL,1688807344365
0.0001,30279.989999999998,BUY,1688807405211
0.0001,30279.989999999998,BUY,1688807466324
0.0001,30310.79,SELL,1688807466818
0.0001,30279.989999999998,BUY,1688807527406
0.0001,30327.88,SELL,1688807527892
0.0001,30267.71,SELL,1688807588423
0.0001,30272.18,BUY,1688807588932
0.0001,30267.71,SELL,1688807649391
0.0001,30259.75,BUY,1688807649883
0.0001,30279.969999999998,BUY,1688807710740
0.0001,30285.45,SELL,1688807711232
0.0001,30268.34,SELL,1688807772199
0.0001,30194.76,BUY,1688807772568
0.0001,30289.18,BUY,1688807833257
0.0001,30310.53,SELL,1688807833615
0.0001,30284.989999999998,BUY,1688807894348
0.0001,30341.44,SELL,1688807894586
0.0001,30284.989999999998,BUY,1688807955391
0.0001,30318.72,SELL,1688807955616
0.0001,30279.989999999998,BUY,1688808016474
0.0001,30294.27,SELL,1688808016829
0.0001,30279.94,BUY,1688808077706
0.0001,30306.27,SELL,1688808078075
0.0001,30274.96,BUY,1688808138704
0.0001,30289.42,SELL,1688808139070
0.0001,30253.016,SELL,1688808200291
0.0001,30249.999999999996,SELL,1688808261570
0.0001,30223.12,BUY,1688808262062
0.0001,30249.999999999996,SELL,1688808322854
0.0001,30249.76,SELL,1688808383878
0.0001,30234.86,BUY,1688808384369
0.0001,30249.76,SELL,1688808445004
0.0001,30222.17,BUY,1688808445356
0.0001,30249.76,SELL,1688808505904
0.0001,30243.8,BUY,1688808506276
0.0001,30244.859999999997,SELL,1688808567159
0.0001,30218.57,BUY,1688808567518
0.0001,30244.559999999998,SELL,1688808628044
0.0001,30244.539999999997,SELL,1688808689009
0.0001,30238.97,BUY,1688808689383
0.0001,30259.969999999998,BUY,1688808750075
0.0001,30271.52,SELL,1688808750449
0.0001,30259.94,BUY,1688808811200
0.0001,30281.25,SELL,1688808811575
0.0001,30259.94,BUY,1688808872229
0.0001,30281.54,SELL,1688808872722
0.0001,30259.93,BUY,1688808932936
0.0001,30299.81,SELL,1688808933174
0.0001,30240.19,SELL,1688808993883
0.0001,30259.12,BUY,1688808994247
0.0001,30239.8,SELL,1688809054981
0.0001,30217.51,BUY,1688809055481
